vehicle_number,vehicle_type,violation_count,last_seen,most_common_area,most_common_violations
FKN00GL32387,CAR,21,2024-04-07 20:01:46+00:00,"Vajreshwari Road, R Subanna Circle, Gandhi Nagar",NO PARKING | WRONG PARKING
FKN00GL14399,SCOOTER,20,2024-04-04 00:07:46+00:00,"Cunningham Road, Mantri Altiue Apartment, Shivaji Nagar",NO PARKING | WRONG PARKING | PARKING ON FOOTPATH
FKN00GL9182,SCOOTER,20,2024-03-10 04:44:46+00:00,"Padmabhushan Dr MC Modi Road, Phase 1, Manjunatha Nagar",NO PARKING | WRONG PARKING | PARKING IN A MAIN ROAD
FKN00GL7586,SCOOTER,20,2024-04-04 04:26:46+00:00,"Mariamma Lane, Tasker Town, Shivaji Nagar",NO PARKING | WRONG PARKING
FKN00GL6006,SCOOTER,20,2024-04-08 01:09:46+00:00,"6th Main Road, RK Puram, Gandhi Nagar",NO PARKING | WRONG PARKING
FKN00GL6334,SCOOTER,20,2024-04-03 20:33:46+00:00,"Bhadrappa Flyover, Nagashetty Halli, RMV Stage 2",NO PARKING | WRONG PARKING
FKN00GL6353,SCOOTER,20,2024-04-06 05:03:46+00:00,"Cunningham Road, Coffee Board Junction, Vasant Nagar",NO PARKING | WRONG PARKING
FKN00GL13920,SCOOTER,20,2024-03-18 07:36:46+00:00,"Commercial Street, Sri Nagamma Devi Circle, Sivanchetti Gardens",WRONG PARKING | PARKING IN A MAIN ROAD
FKN00GL18528,SCOOTER,20,2024-03-22 05:40:46+00:00,"Sahakar Nagar Road, Fortuna Acacia, Byatarayanapura",WRONG PARKING | NO PARKING
FKN00GL6355,MOTOR CYCLE,20,2024-04-03 23:02:46+00:00,"Cunningham Road, Mantri Altiue Apartment, Shivaji Nagar",NO PARKING | WRONG PARKING | DEFECTIVE NUMBER PLATE
FKN00GL2445,MOTOR CYCLE,19,2024-03-26 23:26:46+00:00,"New Horizon College Road, New Horizon College of Engineering, Kadubisanahalli",WRONG PARKING | PARKING IN A MAIN ROAD | NO PARKING
FKN00GL0333,SCOOTER,19,2024-03-29 05:33:46+00:00,"Main Guard Cross Road, Tasker Town, Shivaji Nagar",NO PARKING | WRONG PARKING
FKN00GL4020,SCOOTER,19,2024-04-06 04:51:46+00:00,"1st Main Road, Block 1R, Rajaji Nagar",WRONG PARKING | NO PARKING | DEFECTIVE NUMBER PLATE
FKN00GL22537,SCOOTER,19,2024-04-07 05:03:46+00:00,"6th Main Road, RK Puram, Gandhi Nagar",NO PARKING | WRONG PARKING
FKN00GL104980,SCOOTER,19,2024-01-08 23:14:46+00:00,"Cunningham Road, Coffee Board Junction, Vasant Nagar",NO PARKING | WRONG PARKING | DOUBLE PARKING
FKN00GL0734,CAR,19,2024-01-06 00:34:46+00:00,"Sri Venkataranga Ayangar Road, Ranganathapura, Malleshwaram",NO PARKING | WRONG PARKING
FKN00GL22063,MOTOR CYCLE,19,2024-03-23 03:34:46+00:00,"Sahakar Nagar Road, Fortuna Acacia, Byatarayanapura",WRONG PARKING | NO PARKING | DEFECTIVE NUMBER PLATE
FKN00GL1243,CAR,19,2024-04-07 22:08:46+00:00,"17th Main Road, KPTCL Quarters, Block 2",WRONG PARKING
FKN00GL11475,CAR,19,2024-04-06 19:50:46+00:00,"Vajreshwari Road, Jakkarayana Kere, Gandhi Nagar",NO PARKING | PARKING IN A MAIN ROAD | WRONG PARKING
FKN00GL7998,CAR,19,2024-03-20 23:40:46+00:00,"Sri Sankasta Hara Ganapati Temple Road, RPC Layout, Vijaya Nagar Stage 2",WRONG PARKING | DEFECTIVE NUMBER PLATE | NO PARKING
FKN00GL6443,MOTOR CYCLE,19,2024-02-10 05:09:46+00:00,"Sahakar Nagar Road, Fortune Acacia, Byatarayanapura",NO PARKING | WRONG PARKING
FKN00GL4303,SCOOTER,19,2024-04-05 20:51:46+00:00,"New Horizon College Road, New Horizon College of Engineering, Kadubisanahalli",NO PARKING | WRONG PARKING | PARKING IN A MAIN ROAD
FKN00GL1199,MOTOR CYCLE,19,2024-04-03 00:23:46+00:00,"Cunningham Road, Mantri Altiue Apartment, Shivaji Nagar",NO PARKING | WRONG PARKING | PARKING ON FOOTPATH
FKN00GL0636,SCOOTER,19,2024-04-05 20:52:46+00:00,"New Horizon College Road, New Horizon College of Engineering, Kadubisanahalli",WRONG PARKING | NO PARKING | PARKING IN A MAIN ROAD
FKN00GL8043,SCOOTER,19,2024-03-22 06:48:46+00:00,"Sahakar Nagar Road, Fortuna Acacia, Byatarayanapura",NO PARKING | WRONG PARKING
FKN00GL9526,SCOOTER,19,2024-02-26 22:31:46+00:00,"Cunningham Road, Coffee Board Junction, Vasant Nagar",NO PARKING | WRONG PARKING
FKN00GL6860,CAR,19,2024-04-06 19:53:46+00:00,"Vajreshwari Road, R Subanna Circle, Gandhi Nagar",NO PARKING | WRONG PARKING
FKN00GL0635,SCOOTER,18,2024-03-28 08:02:46+00:00,"New Horizon College Road, New Horizon College of Engineering, Kadubisanahalli",NO PARKING | WRONG PARKING | PARKING IN A MAIN ROAD
FKN00GL21004,SCOOTER,18,2024-03-23 05:24:46+00:00,"1st Main Road, Block 1R, Rajaji Nagar",WRONG PARKING
FKN00GL7916,SCOOTER,18,2024-04-07 03:39:46+00:00,"3rd Cross Road, Kempegowda Extension, Chickpete",NO PARKING
FKN00GL0954,SCOOTER,18,2024-04-06 05:06:46+00:00,"New Horizon College Road, Embassy Tech Village, Devara Beesana Halli",WRONG PARKING | NO PARKING | PARKING IN A MAIN ROAD
FKN00GL20898,SCOOTER,18,2024-03-23 05:34:46+00:00,"Kempegowda Road, Kempe Gowda Circle, Gandhi Nagar",WRONG PARKING | NO PARKING
FKN00GL9852,PASSENGER AUTO,18,2024-03-30 09:30:46+00:00,"Kamaraj Road, Sri Nagamma Devi Circle, Sivanchetti Gardens",WRONG PARKING | NO PARKING | REFUSE TO GO FOR HIRE
FKN00GL17388,SCOOTER,18,2024-01-20 02:16:46+00:00,"Palace Road, Kalpana Circle, Vasant Nagar",WRONG PARKING | NO PARKING
FKN00GL1049,SCOOTER,18,2024-03-28 02:37:46+00:00,"New Horizon College Road, New Horizon College of Engineering, Kadubisanahalli",NO PARKING | WRONG PARKING | PARKING IN A MAIN ROAD
FKN00GL23079,CAR,18,2024-04-03 21:32:46+00:00,"17th Main Road, KPTCL Quarters, Block 2",WRONG PARKING
FKN00GL0907,MOTOR CYCLE,18,2024-03-15 22:03:46+00:00,"New Horizon College Road, New Horizon College of Engineering, Kadubisanahalli",NO PARKING | WRONG PARKING | PARKING IN A MAIN ROAD
FKN00GL15753,PASSENGER AUTO,18,2024-04-08 08:30:46+00:00,"Kamaraj Road, Sri Nagamma Devi Circle, Sivanchetti Gardens",WRONG PARKING | NO PARKING | REFUSE TO GO FOR HIRE
FKN00GL24261,SCOOTER,18,2024-04-01 02:21:46+00:00,"Mariamma Lane, Tasker Town, Shivaji Nagar",NO PARKING | WRONG PARKING | PARKING IN A MAIN ROAD
FKN00GL12905,MAXI-CAB,18,2024-02-20 23:22:46+00:00,"Old Madras Road, Someshwarpura, Halasuru",NO PARKING
FKN00GL7612,CAR,18,2024-04-07 20:51:46+00:00,"Chikka Begur Main Road, Polisappa Layout, Singasandra",WRONG PARKING
FKN00GL6629,MOTOR CYCLE,17,2024-02-06 05:09:46+00:00,"Sahakar Nagar Road, Fortune Acacia, Byatarayanapura",WRONG PARKING | NO PARKING
FKN00GL0930,PASSENGER AUTO,17,2024-03-09 00:58:46+00:00,"Sri Venkataranga Ayangar Road, Ranganathapura, Malleshwaram",WRONG PARKING | NO PARKING
FKN00GL24467,SCOOTER,17,2024-03-31 06:39:46+00:00,"Sahakar Nagar Road, Fortuna Acacia, Byatarayanapura",NO PARKING | WRONG PARKING
FKN00GL2850,MOTOR CYCLE,17,2024-03-28 21:36:46+00:00,"1st Cross Road, Manuvana, Vijaya Nagar",WRONG PARKING | NO PARKING
FKN00GL2817,MOTOR CYCLE,17,2024-03-17 03:16:46+00:00,"Hospital Cross Road, Tasker Town, Shivaji Nagar",WRONG PARKING | NO PARKING | DEFECTIVE NUMBER PLATE
FKN00GL6391,CAR,17,2024-03-28 21:42:46+00:00,"20th Main Road, GEF Block, Industrial Town",NO PARKING
FKN00GL56080,SCOOTER,17,2024-03-08 03:58:46+00:00,"Main Guard Cross Road, Tasker Town, Shivaji Nagar",WRONG PARKING | NO PARKING
FKN00GL3695,SCOOTER,17,2024-04-06 05:06:46+00:00,"New Horizon College Road, New Horizon College of Engineering, Kadubisanahalli",WRONG PARKING | NO PARKING | PARKING IN A MAIN ROAD
FKN00GL35922,PASSENGER AUTO,17,2024-03-28 02:58:46+00:00,"Kamaraj Road, Sri Nagamma Devi Circle, Sivanchetti Gardens",WRONG PARKING | NO PARKING | REFUSE TO GO FOR HIRE
FKN00GL5111,SCOOTER,17,2024-04-05 20:41:46+00:00,"5th Cross Road, Harikara Vidvan Sri R Gururajulu Naidu Circle, Rajaji Nagar",WRONG PARKING
FKN00GL11463,SCOOTER,17,2024-02-23 02:42:46+00:00,"6th Main Road, RK Puram, Gandhi Nagar",NO PARKING
FKN00GL1048,SCOOTER,17,2024-04-02 01:37:46+00:00,"New Horizon College Road, New Horizon College of Engineering, Kadubisanahalli",NO PARKING | WRONG PARKING | PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC
FKN00GL22956,SCOOTER,17,2024-02-06 20:12:46+00:00,"Palace Road, Kalpana Circle, Vasant Nagar",WRONG PARKING
FKN00GL2317,CAR,16,2024-02-23 02:22:46+00:00,"5th Main Road, Kempe Gowda Circle, Gandhi Nagar",NO PARKING | WRONG PARKING
FKN00GL44151,MOTOR CYCLE,16,2024-03-10 23:44:46+00:00,"3rd Cross Road, Kempegowda Extension, Chickpete",NO PARKING | WRONG PARKING
FKN00GL7926,CAR,16,2024-03-19 04:31:46+00:00,"Da Ra Bendre Road, Renaissance Temple Apartment, Yeshwanthpur Suburb Stage 2",NO PARKING | WRONG PARKING
FKN00GL54261,SCOOTER,16,2024-03-22 02:40:46+00:00,"New Horizon College Road, New Horizon College of Engineering, Kadubisanahalli",NO PARKING | WRONG PARKING
FKN00GL7952,LORRY/GOODS VEHICLE,16,2024-04-07 20:59:46+00:00,"1st Main Road, Ramaiah Reddy Layout, Singasandra",WRONG PARKING
FKN00GL10449,CAR,16,2024-03-11 19:42:46+00:00,"2nd Main Road, Jakkarayana Kere, Gandhi Nagar",NO PARKING | WRONG PARKING
FKN00GL16746,SCHOOL VEHICLE,16,2024-03-04 01:47:46+00:00,"11th Cross Road, Sri Chamundi Towers, Krishna Reddy Industrial Area",WRONG PARKING
FKN00GL2735,SCOOTER,16,2024-03-28 03:40:46+00:00,"New Horizon College Road, New Horizon College of Engineering, Kadubisanahalli",NO PARKING | WRONG PARKING | PARKING IN A MAIN ROAD
FKN00GL6946,SCOOTER,16,2024-02-06 21:38:46+00:00,"Palace Road, Kalpana Circle, Vasant Nagar",WRONG PARKING
FKN00GL27365,CAR,16,2024-04-07 00:38:46+00:00,"19th Main Road, Star Circle, Rajaji Nagar",WRONG PARKING
FKN00GL33465,SCOOTER,16,2024-03-11 04:07:46+00:00,"Vajreshwari Road, Railway Officers Enclave, Gandhi Nagar",NO PARKING | DEFECTIVE NUMBER PLATE | WRONG PARKING
FKN00GL19014,CAR,16,2024-04-06 19:44:46+00:00,"Vajreshwari Road, Railway Officers Enclave, Gandhi Nagar",NO PARKING | WRONG PARKING | DEFECTIVE NUMBER PLATE
FKN00GL6219,SCOOTER,16,2024-03-31 00:35:46+00:00,"WOC Road, Block 1R, Rajaji Nagar",WRONG PARKING | NO PARKING
FKN00GL35636,SCOOTER,16,2024-03-07 00:24:46+00:00,"Cunningham Road, Mantri Altiue Apartment, Shivaji Nagar",NO PARKING | WRONG PARKING | PARKING ON FOOTPATH
FKN00GL32651,SCOOTER,16,2024-03-17 03:11:46+00:00,"Hospital Cross Road, Tasker Town, Shivaji Nagar",NO PARKING | WRONG PARKING | PARKING IN A MAIN ROAD
FKN00GL3242,SCOOTER,16,2024-03-28 07:46:46+00:00,"New Horizon College Road, New Horizon College of Engineering, Kadubisanahalli",NO PARKING | WRONG PARKING | PARKING IN A MAIN ROAD
FKN00GL32407,CAR,16,2024-03-26 03:31:46+00:00,"Vajreshwari Road, Railway Officers Enclave, Gandhi Nagar",NO PARKING | WRONG PARKING
FKN00GL40079,SCOOTER,16,2024-03-23 05:18:46+00:00,"Bellary Road, Vinayaka Nagar, Hebbal",NO PARKING
FKN00GL58024,SCOOTER,16,2024-03-17 23:40:46+00:00,"Main Guard Cross Road, Tasker Town, Shivaji Nagar",NO PARKING | WRONG PARKING
FKN00GL4107,CAR,16,2024-02-27 06:39:46+00:00,"Da Ra Bendre Road, Renaissance Temple Apartment, Yeshwanthpur Suburb Stage 2",WRONG PARKING | NO PARKING
FKN00GL18074,SCOOTER,16,2024-03-29 06:55:46+00:00,"Cunningham Road, Mantri Altiue Apartment, Shivaji Nagar",NO PARKING | WRONG PARKING | DEFECTIVE NUMBER PLATE
FKN00GL1880,SCOOTER,15,2024-03-29 05:33:46+00:00,"Main Guard Cross Road, Tasker Town, Shivaji Nagar",NO PARKING | WRONG PARKING
FKN00GL6780,CAR,15,2024-03-05 21:50:46+00:00,"19th Main Road, Block 1, Rajaji Nagar",NO PARKING | WRONG PARKING
FKN00GL3531,SCOOTER,15,2024-04-06 05:13:46+00:00,"New Horizon College Road, New Horizon College of Engineering, Kadubisanahalli",WRONG PARKING | NO PARKING | PARKING IN A MAIN ROAD
FKN00GL17853,MOTOR CYCLE,15,2024-03-27 03:02:46+00:00,"New Horizon College Road, Embassy Tech Village, Devara Beesana Halli",NO PARKING | PARKING IN A MAIN ROAD | WRONG PARKING
FKN00GL101845,SCOOTER,15,2023-12-30 03:04:46+00:00,"Cunningham Road, Coffee Board Junction, Vasant Nagar",NO PARKING | WRONG PARKING
FKN00GL8821,MOTOR CYCLE,15,2024-04-04 02:23:46+00:00,"80 Feet Ring Road, Orion, Brigade Gateway",NO PARKING | WRONG PARKING
FKN00GL2993,SCOOTER,15,2024-02-02 20:54:46+00:00,"Palace Road, Kalpana Circle, Vasant Nagar",WRONG PARKING
FKN00GL4341,MOTOR CYCLE,15,2024-03-28 22:12:46+00:00,"Chord Road, Manuvana, Vijaya Nagar",WRONG PARKING | NO PARKING
FKN00GL17808,MOTOR CYCLE,15,2024-03-12 21:29:46+00:00,"New Horizon College Road, Embassy Tech Village, Devara Beesana Halli",NO PARKING | WRONG PARKING | PARKING IN A MAIN ROAD
FKN00GL2687,SCOOTER,15,2024-04-06 04:51:46+00:00,"1st Main Road, Block 1R, Rajaji Nagar",WRONG PARKING
FKN00GL12904,CAR,15,2024-02-10 03:56:46+00:00,"Old Madras Road, Lido Mall, Someshwarpura",NO PARKING | PARKING IN A MAIN ROAD
FKN00GL2353,CAR,15,2024-04-07 20:06:46+00:00,"Vajreshwari Road, Jakkarayana Kere, Gandhi Nagar",NO PARKING | WRONG PARKING
FKN00GL10586,LGV,15,2024-04-03 03:15:46+00:00,"3rd Cross Road, Kempegowda Extension, Chickpete",WRONG PARKING | NO PARKING | PARKING IN A MAIN ROAD
FKN00GL19786,SCOOTER,15,2024-04-05 19:53:46+00:00,"6th Main Road, Kempe Gowda Circle, Gandhi Nagar",WRONG PARKING | NO PARKING
FKN00GL3688,SCOOTER,15,2024-03-28 00:46:46+00:00,"Sahakar Nagar Road, Fortune Acacia, Byatarayanapura",WRONG PARKING | NO PARKING
FKN00GL3743,PASSENGER AUTO,15,2024-03-31 05:07:46+00:00,"Kamaraj Road, Sri Nagamma Devi Circle, Sivanchetti Gardens",WRONG PARKING | NO PARKING | REFUSE TO GO FOR HIRE
FKN00GL10031,MOTOR CYCLE,15,2024-03-15 00:56:46+00:00,"New Horizon College Road, New Horizon College of Engineering, Kadubisanahalli",NO PARKING | WRONG PARKING | PARKING IN A MAIN ROAD
FKN00GL12732,PASSENGER AUTO,15,2024-02-18 05:18:46+00:00,"Kamaraj Road, Sri Nagamma Devi Circle, Sivanchetti Gardens",NO PARKING | WRONG PARKING | DOUBLE PARKING
FKN00GL111727,MOTOR CYCLE,15,2024-01-01 04:14:46+00:00,"6th Main Road, RK Puram, Gandhi Nagar",NO PARKING | WRONG PARKING
FKN00GL41563,TEMPO,15,2024-04-03 21:32:46+00:00,"17th Main Road, KPTCL Quarters, Block 2",WRONG PARKING
FKN00GL16984,MOTOR CYCLE,15,2024-03-21 05:13:46+00:00,"New Horizon College Road, Embassy Tech Village, Devara Beesana Halli",NO PARKING | WRONG PARKING | PARKING IN A MAIN ROAD
FKN00GL2715,MOTOR CYCLE,15,2024-03-28 03:14:46+00:00,"New Horizon College Road, Embassy Tech Village, Devara Beesana Halli",WRONG PARKING | NO PARKING | PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC
FKN00GL20686,SCOOTER,15,2024-01-23 23:00:46+00:00,"10th Cross Road, Block 1, Rajaji Nagar",WRONG PARKING
FKN00GL22258,PASSENGER AUTO,15,2024-03-30 07:15:46+00:00,"Kamaraj Road, Sri Nagamma Devi Circle, Sivanchetti Gardens",NO PARKING | WRONG PARKING | REFUSE TO GO FOR HIRE
FKN00GL5016,SCOOTER,15,2024-03-29 01:24:46+00:00,"J Lingaiah Road, Kempanna Block, Seshadripuram",NO PARKING
FKN00GL49799,SCOOTER,15,2024-04-07 04:07:46+00:00,"Main Guard Cross Road, Tasker Town, Shivaji Nagar",NO PARKING | WRONG PARKING | DEFECTIVE NUMBER PLATE
FKN00GL51416,CAR,15,2024-04-06 19:33:46+00:00,"Subedar Chatram Road, Kempe Gowda Circle, Gandhi Nagar",NO PARKING | WRONG PARKING
FKN00GL9606,CAR,15,2024-04-07 21:48:46+00:00,"17th Main Road, KPTCL Quarters, Block 2",WRONG PARKING
FKN00GL9990,SCOOTER,15,2024-02-08 21:12:46+00:00,"Palace Road, Kalpana Circle, Vasant Nagar",WRONG PARKING | DEFECTIVE NUMBER PLATE
FKN00GL4480,SCOOTER,15,2024-03-28 02:56:46+00:00,"Sahakar Nagar Road, Fortuna Acacia, Byatarayanapura",WRONG PARKING | NO PARKING
FKN00GL14755,SCOOTER,15,2024-04-01 21:50:46+00:00,"Konanakunte Main Road, Banashankari Bus Stand Junction, JP Nagar Phase 1",NO PARKING
FKN00GL21720,PASSENGER AUTO,15,2024-04-04 04:11:46+00:00,"Kamaraj Road, Sri Nagamma Devi Circle, Sivanchetti Gardens",WRONG PARKING | NO PARKING | REFUSE TO GO FOR HIRE
FKN00GL0397,SCOOTER,15,2024-04-07 02:59:46+00:00,"3rd Cross Road, Kempegowda Extension, Chickpete",NO PARKING
FKN00GL0049,SCOOTER,15,2024-03-10 07:11:46+00:00,"Neeladri Road, Ajmera Annex, Karuna Nagar",WRONG PARKING | NO PARKING
FKN00GL4759,SCOOTER,15,2024-04-04 02:59:46+00:00,"Dispensary Road, Tasker Town, Shivaji Nagar",WRONG PARKING | NO PARKING
FKN00GL2996,SCOOTER,15,2024-04-02 02:04:46+00:00,"Palace Road, Kalpana Circle, Vasant Nagar",WRONG PARKING
FKN00GL3502,MOTOR CYCLE,14,2024-03-28 08:03:46+00:00,"New Horizon College Road, Embassy Tech Village, Devara Beesana Halli",NO PARKING | WRONG PARKING | PARKING IN A MAIN ROAD
FKN00GL18309,PASSENGER AUTO,14,2024-04-02 00:51:46+00:00,"Kamaraj Road, Sri Nagamma Devi Circle, Sivanchetti Gardens",NO PARKING | WRONG PARKING | REFUSE TO GO FOR HIRE
FKN00GL26521,MOTOR CYCLE,14,2024-03-13 00:58:46+00:00,"Shri Ramalingeshwara Cave Temple Road, Royal Meenakshi Mall, Hulimavu",WRONG PARKING
FKN00GL5280,CAR,14,2024-04-03 21:55:46+00:00,"17th Main Road, Block 2, Rajaji Nagar",WRONG PARKING
FKN00GL12424,MOTOR CYCLE,14,2024-03-08 05:42:46+00:00,"Old Madras Road, Gopalan Grand Mall, Nagavara Palya",WRONG PARKING
FKN00GL31294,SCOOTER,14,2024-03-23 03:38:46+00:00,"Sahakar Nagar Road, Fortuna Acacia, Byatarayanapura",WRONG PARKING | NO PARKING | PARKING ON FOOTPATH
FKN00GL19727,SCOOTER,14,2024-04-03 01:21:46+00:00,"6th Main Road, RK Puram, Gandhi Nagar",NO PARKING | WRONG PARKING
FKN00GL4211,SCOOTER,14,2024-01-30 07:30:46+00:00,"1st Main Road, Bharthi Layout, Sadduguntepalya",NO PARKING | PARKING IN A MAIN ROAD | WRONG PARKING
FKN00GL1301,SCOOTER,14,2024-04-01 23:16:46+00:00,"1st Cross Road, Sindhya Sunshine Apartment, Vijaya Nagar",NO PARKING
FKN00GL94778,SCOOTER,14,2024-03-03 23:34:46+00:00,"5th Main Road, Kempe Gowda Circle, Gandhi Nagar",NO PARKING | WRONG PARKING
FKN00GL18450,SCOOTER,14,2024-02-14 21:03:46+00:00,"Padmabhushan Dr MC Modi Road, Phase 1, Manjunatha Nagar",NO PARKING | WRONG PARKING
FKN00GL26490,SCOOTER,14,2024-03-13 00:58:46+00:00,"Shri Ramalingeshwara Cave Temple Road, Royal Meenakshi Mall, Hulimavu",WRONG PARKING
FKN00GL13988,SCOOTER,14,2024-03-09 00:41:46+00:00,"Mysore Road, Sri Krishna Rajendra Market, Chickpete",WRONG PARKING | NO PARKING
FKN00GL6630,MOTOR CYCLE,14,2024-03-30 06:18:46+00:00,"Sahakar Nagar Road, Fortune Acacia, Byatarayanapura",WRONG PARKING | NO PARKING
FKN00GL25402,PASSENGER AUTO,14,2024-04-08 04:04:46+00:00,"Kamaraj Road, Sri Nagamma Devi Circle, Sivanchetti Gardens",WRONG PARKING | NO PARKING | DEFECTIVE NUMBER PLATE
FKN00GL11705,SCOOTER,14,2024-01-24 22:04:46+00:00,"Palace Road, Kalpana Circle, Vasant Nagar",WRONG PARKING
FKN00GL10831,SCOOTER,14,2024-01-27 00:18:46+00:00,"Main Guard Cross Road, Tasker Town, Shivaji Nagar",NO PARKING
FKN00GL25145,SCOOTER,14,2024-04-01 06:09:46+00:00,"Central Street, Prestige Saleh Ahmed, Tasker Town",WRONG PARKING
FKN00GL6652,TEMPO,14,2024-04-03 21:56:46+00:00,"17th Main Road, KPTCL Quarters, Block 2",WRONG PARKING
FKN00GL32527,MOTOR CYCLE,14,2024-03-27 01:50:46+00:00,"Hospital Cross Road, Tasker Town, Shivaji Nagar",WRONG PARKING | NO PARKING | DEFECTIVE NUMBER PLATE
FKN00GL7945,SCOOTER,14,2024-02-15 06:12:46+00:00,"Sahakar Nagar Road, Olivia, Raintree Boulevard",NO PARKING | WRONG PARKING
FKN00GL37015,SCOOTER,14,2024-04-06 04:09:46+00:00,"6th Main Road, RK Puram, Gandhi Nagar",NO PARKING
